a,b,c,d,e,f,g,j,k,l,m,n,result
250,0,0,0,0,62,0,1,0,1,29,0,fail
800,1,5,0,0,64,0,1,0,1,22,0,fail
978,44,18,0,0,114,0,1,0,1,35,0,fail
490,0,26,0,0,3840,0,1,0,1,38,0,fail
248,0,0,0,0,72,0,1,0,1,42,4,fail
123,2,611,0,0,319,0,0,0,1,31,0,fail
303,13840,138,78,13,6352,24,0,1,1,79,1,fail
206,0,14,0,0,65,0,1,0,1,30,0,fail
333,0,0,0,0,63,0,1,0,1,26,0,fail
1277,1,21,5,0,125,0,1,0,1,24,0,fail
804,35,29,1,1,237,0,1,0,1,27,0,fail
894,10,50,5,0,215,0,1,0,1,23,0,fail
1188,1,372,0,0,454,0,0,0,1,68,0,fail
921,5,6,0,0,62,0,1,0,1,20,0,fail
1040,0,222,0,0,63,0,1,0,1,20,0,fail
1191,45,52,12,1,4354,0,0,0,1,36,0,fail
815,0,0,0,0,63,0,1,0,1,27,0,fail
944,2,61,0,0,65,0,1,0,1,22,0,fail
930,2,13,0,0,63,0,1,0,1,28,0,fail
972,0,0,0,0,56,0,1,0,1,21,0,fail
1132,0,0,0,0,63,0,1,0,1,22,0,fail
1409,2,45,0,0,64,0,1,0,1,21,0,fail
446,1,2,0,0,66,0,1,0,1,31,0,fail
1038,1,10,0,0,7100,0,1,0,1,31,0,fail
720,4,25,20,0,67,0,1,0,1,20,0,fail
1359,0,252,0,0,331,0,0,0,1,40,0,fail
860,2,6,1,0,109,0,1,0,1,27,0,fail
1376,31,134,1,0,68,0,1,0,1,26,0,fail
765,17,573,23,0,72,0,1,0,1,23,0,fail
560,6,43,0,0,333,0,0,0,1,38,0,fail
803,6,758,2,0,73,0,1,0,1,19,0,fail
1295,18,78,395,0,530,0,1,0,1,11,0,fail
926,8,33,0,0,71,0,1,0,1,43,4,fail
1889,8,32,0,0,67,0,1,0,1,50,4,fail
1395,1,13,0,0,63,0,1,0,1,19,0,fail
601,0,13,3,0,68,0,1,0,1,46,0,fail
1253,21,21,0,1,232,0,1,0,1,21,0,fail
933,0,2,0,0,63,0,1,0,1,21,0,fail
961,0,0,0,0,121,0,1,0,1,20,0,fail
1810,1473,280,4,94,6510,0,1,0,1,34,0,fail
1155,0,191,0,0,65,0,1,0,1,40,0,fail
928,1,0,0,0,64,0,1,0,1,28,0,fail
1257,0,3,0,0,63,0,1,0,1,11,0,fail
324,0,0,0,0,65,0,1,0,1,12,0,fail
486,19,113,0,0,95,0,1,0,1,27,0,fail
343,0,0,0,0,62,0,1,0,1,22,0,fail
1700,4,0,0,0,62,0,1,0,1,21,0,fail
798,0,2,0,0,338,0,0,0,1,34,8,fail
890,0,8,0,0,87,0,1,0,1,23,0,fail
1155,0,3,0,0,69,0,1,0,1,20,0,fail
1272,5,412,0,0,71,0,1,0,1,27,0,fail
199,0,10,0,0,62,0,1,0,1,31,0,fail
689,0,0,0,0,65,0,1,0,1,23,0,fail
896,9,42,1,0,80,0,1,0,1,22,0,fail
1629,0,4,0,0,308,0,0,0,1,21,2,fail
1673,2,0,0,0,62,0,1,0,1,27,0,fail
1431,3,2,1,0,64,0,1,0,1,28,0,fail
1766,3,3,1,0,63,0,1,0,1,16,0,fail
1425,24,454,0,0,64,0,1,0,1,24,0,fail
837,0,0,0,0,61,0,1,0,1,37,0,fail
248,0,0,0,0,73,0,1,0,1,14,0,fail
490,0,26,0,0,3841,0,1,0,1,17,0,fail
1088,1,54,0,0,133,0,1,0,1,52,0,fail
834,1,5,0,0,65,0,1,0,1,21,0,fail
1345,27,205,4,1,143,0,1,0,1,26,0,fail
242,0,0,0,0,63,0,1,0,1,18,0,fail
939,0,2,0,0,63,0,1,0,1,28,0,fail
899,1,151,0,0,63,0,1,0,1,14,0,fail
978,44,18,0,0,115,0,1,0,1,36,0,fail
381,0,189,0,0,312,0,0,0,1,39,0,fail
692,3,15,0,0,62,0,1,0,1,21,0,fail
701,2,10,0,0,61,0,1,0,1,42,0,fail
1050,4,199,0,0,78,0,1,0,1,25,0,fail
894,10,50,5,0,217,0,1,0,1,22,0,fail
804,35,29,1,1,238,0,1,0,1,24,0,fail
303,13840,138,78,13,6353,59,0,1,1,72,1,fail
1277,1,21,5,0,126,0,1,0,1,19,0,fail
1040,0,222,0,0,64,0,1,0,1,19,0,fail
815,0,0,0,0,64,0,1,0,1,36,0,fail
333,0,0,0,0,64,0,1,0,1,29,0,fail
1307,3,440,0,0,57,0,1,0,1,21,0,fail
1244,2,1,0,0,91,0,1,0,1,29,0,fail
921,5,6,0,0,63,0,1,0,1,34,0,fail
858,0,219,0,0,1110,0,0,0,1,45,2,fail
972,0,0,0,0,57,0,1,0,1,9,0,fail
446,1,2,0,0,67,0,1,0,1,24,0,fail
1132,0,0,0,0,64,0,1,0,1,23,0,fail
930,2,13,0,0,64,0,1,0,1,28,0,fail
488,0,0,0,0,359,0,0,0,1,34,1,fail
944,2,61,0,0,66,0,1,0,1,58,0,fail
1038,1,10,0,0,7101,0,1,0,1,13,0,fail
720,4,25,20,0,68,0,1,0,1,41,0,fail
1409,2,45,0,0,65,0,1,0,1,22,0,fail
765,17,573,23,0,72,0,1,0,1,13,0,fail
291,0,14,0,0,348,0,0,0,1,25,0,fail
1889,8,32,0,0,68,0,1,0,1,17,0,fail
1295,18,78,395,0,531,0,1,0,1,12,0,fail
803,6,758,2,0,74,0,1,0,1,23,0,fail
1810,1473,280,4,94,6511,0,1,0,1,18,0,fail
860,2,6,1,0,110,0,1,0,1,20,0,fail
933,0,2,0,0,64,0,1,0,1,31,0,fail
1376,31,134,1,0,69,0,1,0,1,28,0,fail
386,8729,7005,0,24,35284,0,0,0,1,59,0,fail
1253,21,21,0,1,233,0,1,0,1,26,0,fail
584,0,11,0,0,294,0,0,0,1,62,0,fail
926,8,33,0,0,72,0,1,0,1,30,0,fail
1272,5,412,0,0,72,0,1,0,1,19,0,fail
343,0,0,0,0,63,0,1,0,1,19,0,fail
1155,0,191,0,0,66,0,1,0,1,29,0,fail
694,0,216,0,0,339,0,0,0,1,48,0,fail
860,2,6,1,0,110,0,1,0,1,20,0,fail
933,0,2,0,0,64,0,1,0,1,31,0,fail
1376,31,134,1,0,69,0,1,0,1,28,0,fail
386,8729,7005,0,24,35284,0,0,0,1,59,0,fail
1253,21,21,0,1,233,0,1,0,1,26,0,fail
584,0,11,0,0,294,0,0,0,1,62,0,fail
926,8,33,0,0,72,0,1,0,1,30,0,fail
1272,5,412,0,0,72,0,1,0,1,19,0,fail
343,0,0,0,0,63,0,1,0,1,19,0,fail
1155,0,191,0,0,66,0,1,0,1,29,0,fail
694,0,216,0,0,339,0,0,0,1,48,0,fail
890,0,8,0,0,88,0,1,0,1,28,0,fail
601,0,13,3,0,68,0,1,0,1,40,0,fail
199,0,10,0,0,63,0,1,0,1,36,0,fail
1395,1,13,0,0,64,0,1,0,1,29,0,fail
689,0,0,0,0,66,0,1,0,1,31,0,fail
1257,0,3,0,0,64,0,1,0,1,28,0,fail
928,1,0,0,0,65,0,1,0,1,25,0,fail
1700,4,0,0,0,63,0,1,0,1,11,0,fail
961,0,0,0,0,122,0,1,0,1,29,0,fail
324,0,0,0,0,66,0,1,0,1,31,0,fail
47,8,53,0,0,202,1,0,1,1,76,0,fail
896,9,42,1,0,82,0,1,0,1,36,0,fail
1431,3,2,1,0,65,0,1,0,1,24,0,fail
1673,2,0,0,0,63,0,1,0,1,35,0,fail
1425,24,454,0,0,65,0,1,0,1,22,0,fail
486,19,113,0,0,96,0,1,0,1,25,0,fail
490,0,26,0,0,3842,0,1,0,1,29,8,fail
1088,1,54,0,0,134,0,1,0,1,17,0,fail
1766,3,3,1,0,64,0,1,0,1,28,0,fail
1015,0,0,0,0,62,0,1,0,1,17,0,fail
834,1,5,0,0,66,0,1,0,1,29,0,fail
248,0,0,0,0,74,0,1,0,1,35,0,fail
1589,1272,1114,181,8,30947,0,1,3,1,103,7,fail
1403,1,2,0,0,341,0,0,0,1,41,0,fail
1345,27,205,4,1,144,0,1,0,1,19,0,fail
62,64,99,0,2,120,0,0,0,1,36,0,fail
242,0,0,0,0,64,0,1,0,1,40,2,fail
1155,0,3,0,0,70,0,1,0,1,30,0,fail
899,1,151,0,0,64,0,1,0,1,23,0,fail
837,0,0,0,0,62,0,1,0,1,27,0,fail
617,404,988,0,2,204,0,1,0,1,24,0,fail
939,0,2,0,0,63,0,1,0,1,32,0,fail
701,2,10,0,0,62,0,1,0,1,14,0,fail
692,3,15,0,0,63,0,1,0,1,23,0,fail
1262,3,2,0,0,1814,0,0,0,1,42,0,fail
333,0,0,0,0,65,0,1,0,1,55,0,fail
978,44,18,0,0,116,0,1,0,1,14,0,fail
804,35,29,1,1,239,0,1,0,1,55,0,fail
1050,4,199,0,0,79,0,1,0,1,55,0,fail
894,10,50,5,0,218,0,1,0,1,14,0,fail
1277,1,21,5,0,127,0,1,0,1,23,0,fail
57,953,1225,0,0,30074,0,0,0,1,61,0,fail
1244,2,1,0,0,92,0,1,0,1,35,0,fail
1040,0,222,0,0,65,0,1,0,1,73,2,fail
921,5,6,0,0,64,0,1,0,1,24,0,fail
1202,4,215,0,0,2000,0,0,0,1,17,0,fail
1307,3,440,0,0,58,0,1,0,1,31,0,fail
972,0,0,0,0,58,0,1,0,1,36,0,fail
944,2,61,0,0,67,0,1,0,1,52,2,fail
815,0,0,0,0,65,0,1,0,1,41,0,fail
803,6,758,2,0,75,0,1,0,1,26,0,fail
1539,0,11,0,0,64,0,1,0,1,35,0,fail
720,4,25,20,0,69,0,1,0,1,51,0,fail
1132,0,0,0,0,65,0,1,0,1,37,0,fail
930,2,13,0,0,65,0,1,0,1,29,0,fail
1038,1,10,0,0,7102,0,1,0,1,31,0,fail
446,1,2,0,0,68,0,1,0,1,31,0,fail
965,2,2,0,0,333,0,0,0,1,39,2,fail
765,17,573,23,0,74,0,1,0,1,32,0,fail
933,0,2,0,0,65,0,1,0,1,25,0,fail
860,2,6,1,0,111,0,1,0,1,31,0,fail
1569,1,0,0,1,308,0,0,0,1,37,0,fail
1155,0,191,0,0,67,0,1,0,1,21,0,fail
1295,18,78,395,0,532,0,1,0,1,25,0,fail
1889,8,32,0,0,69,0,1,0,1,45,0,fail
926,8,33,0,0,73,0,1,0,1,26,0,fail
961,0,0,0,0,123,0,1,0,1,27,0,fail
343,0,0,0,0,64,0,1,0,1,18,0,fail
1644,1,20,0,0,337,0,0,0,1,43,3,fail
1810,1473,280,4,94,6511,0,1,0,1,22,0,fail
1395,1,13,0,0,65,0,1,0,1,36,0,fail
1272,5,412,0,0,73,0,1,0,1,15,0,fail
896,9,42,1,0,83,0,1,0,1,58,0,fail
1700,4,0,0,0,64,0,1,0,1,67,0,fail
890,0,8,0,0,89,0,1,0,1,13,0,fail
689,0,0,0,0,67,0,1,0,1,24,0,fail
238,2161,2251,0,2,6411,0,0,0,1,35,1,fail
1673,2,0,0,0,64,0,1,0,1,20,0,fail
1257,0,3,0,0,65,0,1,0,1,24,0,fail
199,0,10,0,0,64,0,1,0,1,23,0,fail
1431,3,2,1,0,66,0,1,0,1,22,0,fail
1376,31,134,1,0,70,0,1,0,1,23,0,fail
1345,27,205,4,1,145,0,1,0,1,25,0,fail
1109,0,64,0,0,65,0,1,0,1,29,0,fail
899,1,151,0,0,65,0,1,0,1,23,0,fail
1155,0,3,0,0,71,0,1,0,1,28,0,fail
1766,3,3,1,0,65,0,1,0,1,35,0,fail
837,0,0,0,0,63,0,1,0,1,21,0,fail
486,19,113,0,0,97,0,1,0,1,20,0,fail
242,0,0,0,0,65,0,1,0,1,27,0,fail
677,1,2,0,0,334,0,0,0,1,67,4,fail
692,3,15,0,0,64,0,1,0,1,30,0,fail
1569,2,18,0,0,314,0,0,0,1,34,0,fail
1589,1272,1114,181,8,30948,0,1,3,1,106,7,fail
701,2,10,0,0,63,0,1,0,1,23,0,fail
